Name,Elo,Wins,Losses,MatchesPlayed
Van der Merwe I.,485.04,1,2,3
Eaton C.,503.17,1,1,2
Qureshi A.U.H.,477.09,1,4,5
Brizzi A.,480.53,0,1,1
Cruciat A.,467.43,0,2,2
O'Neal J.,478.76,0,1,1
Oswald P.,475.14,1,3,4
Mayer L.,479.35,163,185,348
Veic A.,421.92,9,21,30
Piccari F.,480.6,0,1,1
Estrella V.,494.8,0,1,1
Ignatik U.,486.91,0,1,1
Devvarman S.,430.86,44,66,110
De Heart R.,516.37,1,1,2
Ball C.,511.79,7,11,18
Krajicek A.,467.97,11,24,35
Djokovic M.,457.2,0,3,3
Xu J.C.,480.76,0,1,1
Bai Y.,489.94,2,6,8
Jouan R.,491.4,1,4,5
Sugita Y.,492.52,42,80,122
Kondo H.,480.86,0,1,1
Ito Y.,482.15,0,1,1
Ito T.,466.2,27,54,81
Donskoy E.,457.78,48,111,159
Lejnieks K.,508.25,1,1,2
Tomic B.,553.34,166,163,329
Statham J.,479.0,2,6,8
Ebelthite C.,483.62,0,1,1
De Chaunac S.,534.78,5,5,10
Klaasen R.,499.45,4,4,8
Anderson A.,493.93,0,1,1
Mektic N.,435.76,1,7,8
Hocevar R.,433.69,0,5,5
Silva D.,479.5,0,1,1
Zampieri C.,491.3,1,2,3
Poerschke L.,479.8,0,2,2
Munoz de La Nava D.,491.1,0,1,1
Marchenko I.,468.07,44,81,125
Bhambri Y.,475.89,11,23,34
Ziadi M.,445.07,0,4,4
El Amrani R.,487.06,2,4,6
Riba-Madrid P.,468.15,0,2,2
Krajinovic F.,549.28,110,120,230
Zlatanovic A.,481.57,0,1,1
Kloer S.,491.87,0,1,1
Rufin G.,547.51,16,26,42
Fleming C.,478.7,0,2,2
Zemlja G.,594.94,26,33,59
Ghedin R.,462.78,0,3,3
Zeballos H.,575.67,85,125,210
Munoz-De La Nava D.,451.93,8,19,27
Britton D.,479.66,0,3,3
Del Bonis F.,530.35,6,7,13
Agostinelli B.,480.42,0,1,1
Raonic M.,812.83,359,165,524
Ilhan M.,371.18,16,54,70
Buchanan C.,483.85,0,2,2
Luncanu P.A.,476.8,0,2,2
Copil M.,539.42,47,80,127
Valent R.,487.69,0,1,1
Wachiramanowong K.,486.08,0,2,2
Gong M.X.,472.24,0,4,4
Biryukov M.,474.23,0,2,2
Kontinen H.,487.75,1,2,3
Millot V.,475.28,8,21,29
Vovk S.,482.9,0,1,1
Dolgopolov O.,717.48,206,183,389
Haider-Maurer A.,459.21,37,66,103
Bautista R.,859.41,128,84,212
Millman J.,586.52,110,139,249
Ebden M.,532.9,70,122,192
Yang T.H.,467.96,0,4,4
Sorensen L.,502.68,2,3,5
Maamoun K.,485.67,0,1,1
Lemke J.,491.07,0,1,1
Cervantes I.,475.29,17,32,49
Matosevic M.,501.23,58,89,147
Kubler J.,513.01,22,30,52
Sergeyev I.,513.9,1,1,2
Brown D.,572.19,62,93,155
Wolmarans F.,486.2,1,2,3
Van Der Merwe I.,537.59,6,4,10
Souza J.,409.76,23,45,68
Saavedra Corvalan C.,482.77,0,1,1
Jelenic P.,498.72,1,1,2
Bemelmans R.,475.56,21,49,70
Im K.T.,484.03,0,1,1
Deheart R.,482.62,0,2,2
Mertens Y.,481.74,1,2,3
Niland C.,473.58,0,2,2
Ramos-Vinolas A.,467.24,202,245,447
Lajovic D.,666.62,178,228,406
Di Mauro A.,496.2,0,1,1
Krawietz K.,487.69,1,3,4
Gojowczyk P.,508.77,73,92,165
Mina G.,459.0,0,4,4
Paire B.,405.32,230,281,511
Emmrich M.,490.99,0,1,1
