Name,Elo,Wins,Losses,MatchesPlayed
Ellwood B.,495,0,1,1
Kennedy A.,485,0,3,3
Dabrowski B.,490,0,2,2
Dancevic F.,340,52,84,136
Baker B.,415,20,37,57
Agaev E.,495,0,1,1
Ram R.,325,55,90,145
Hanley P.,495,0,1,1
Lukaev R.,495,0,1,1
Boeker M.,485,1,4,5
Rehnquist B.,470,4,10,14
Saoudi S.,490,1,3,4
Kunitcin I.,495,0,1,1
Amritraj P.,450,12,22,34
Abel M.,470,1,7,8
Craca M.,495,0,1,1
Bohaboy D.,495,0,1,1
Shvec A.,495,0,1,1
Serra F.,235,115,168,283
Vliegen K.,355,79,108,187
Di Pasquale A.,485,1,4,5
Bopanna R.,455,5,14,19
Lisnard J.R.,350,28,58,86
Van Lottum J.,495,1,2,3
Hantschek M.,500,1,1,2
Khalfan S.,485,0,3,3
Rea S.,490,0,2,2
Kendrick R.,295,35,76,111
Luczak P.,285,35,78,113
Durek R.,495,0,1,1
Lapentti G.,435,7,20,27
Henry R.,495,0,1,1
Bogomolov Jr. A.,490,3,5,8
Gambill J. M.,500,2,2,4
Gamonal H.,490,2,4,6
Peralta J.,495,0,1,1
Cermak F.,475,8,13,21
Gallardo Valles M.,490,0,2,2
Marin J.A,500,1,1,2
Norby R.,495,0,1,1
Dell'Acqua M.,480,1,5,6
Gooding J.,495,0,1,1
Ouahabi T.,495,0,1,1
Hernandez O.,230,64,118,182
Rocha D.,500,1,1,2
Lopes H.,495,0,1,1
Nadal R.,4505,1009,208,1217
Srichaphan N.,500,2,2,4
Garcia-Lopez G.,195,286,347,633
Kunitsyn I.,180,81,145,226
Mathieu P.,475,0,5,5
Schuettler P.,505,2,1,3
Weinzierl J.,495,0,1,1
Delfino M.,495,0,1,1
Koderisch C.,495,0,1,1
Scherrer J.C.,485,1,4,5
de Voest R.,475,11,16,27
Marray J.,480,4,8,12
Logtens P.,490,0,2,2
Moser F.,490,0,2,2
Hemmes F.,490,1,3,4
Petzschner P.,425,83,98,181
Mertinak M.,465,4,11,15
Bloomfield R.,460,4,12,16
Andersson H.,495,0,1,1
Prpic A.,490,0,2,2
Lammer M.,445,5,16,21
Wawrinka S.,1465,535,342,877
Brown D.,340,62,94,156
Guccione C.,385,32,55,87
Pescosolido S.,475,1,6,7
Levinsky J.,495,0,1,1
Starace P.,320,140,176,316
Greul S.,355,43,72,115
Levine I.,490,0,2,2
Behrmann M.,495,0,1,1
Reynolds B.,275,27,72,99
Delic A.,365,24,51,75
Ayala D.,495,0,1,1
Tipsarevic J.,600,234,214,448
Neumuller I.,495,0,1,1
Vik R.,410,18,36,54
Mergea F.,500,2,2,4
Seppi A.,270,347,393,740
Koellerer D.,435,19,32,51
Karanusic R.,375,11,36,47
Tuksar S.,470,0,6,6
Yim R.,490,0,2,2
Fyrstenberg M.,485,0,3,3
Matkowski M.,495,0,1,1
Urban F.,490,0,2,2
Youzhny A.,500,2,2,4
Ramirez-Hidalgo R.,200,61,121,182
Berdych T.,1825,576,311,887
Quintero M.,495,0,1,1
Ferreiro F.,490,2,4,6
Capdeville P.,345,34,65,99
Moraru G.,490,0,2,2
Andreev I.,525,213,208,421
Chiudinelli M.,310,44,82,126
Ratiwatana S.,495,0,1,1
Bogomolov A.,360,61,89,150
di Mauro A.,395,14,35,49
Veronelli D.,495,2,3,5
Tenconi T.,495,1,2,3
Aldi F.,470,1,7,8
Almagro N.,1060,370,258,628
Zeng S.X.,480,1,5,6
Snobel P.,480,0,4,4
Ascione A.,500,1,1,2
Iwami T.,490,1,3,4
Scherrer J.,495,0,1,1
Davletshin V.,490,0,2,2
Andersen J.,495,0,1,1
Chela J.,500,3,3,6
Ferrero J.,490,1,3,4
Mankad H.,485,0,3,3
Rastogi K.,485,1,4,5
Kucera V.,500,1,1,2
Mayer F.,420,218,234,452
Bracciali D.,405,29,48,77
Bohli S.,420,2,18,20
Hippensteel K.,490,1,3,4
Reichel A.,495,0,1,1
Monaco J.,825,306,241,547
Cakl T.,470,3,9,12
Braga P.,495,0,1,1
Gallardo M.,490,0,2,2
Al Ghareeb M.,475,0,5,5
Evans B.,455,6,15,21
Phillips T.,495,0,1,1
Marcaccio G.,495,2,3,5
Tavares L.,495,1,2,3
Odesnik W.,425,40,55,95
