Name,Elo,Wins,Losses,MatchesPlayed
Navarro-Pastor I.,443.72367919660087,33,65,98
Sa A.,457.71922178734843,1,4,5
Delgado R.,429.5334344701914,7,17,24
Hilton M.,487.52177355237814,1,2,3
Ram A.,448.11462211035814,1,5,6
Wang Y.T.,485.5726163052778,13,26,39
Hellstrom M.,484.7069182519355,0,1,1
Gabashvili T.,459.1728919514693,104,190,294
Verdasco M.,505.9625982516706,1,1,2
Eleskovic E.,455.89787547590385,2,7,9
Gimelstob J.,409.6936094238775,23,44,67
Ram R.,503.8373210804489,54,88,142
Mertinak M.,433.72811097381134,4,9,13
van der Meer N.,484.4421637116474,0,1,1
van Gemerden M.,465.80232260249716,3,6,9
Przysiezny M.,397.4189483059371,17,57,74
Thomann N.,442.76620100164286,2,8,10
Cook L.,483.28117129216656,0,1,1
Phau B.,517.6450150718902,67,114,181
Beck A.,408.7596750497654,37,60,97
Andersen J.F.,480.69913938661796,1,2,3
Rieschick S.,468.7000989895042,1,3,4
de Voest R.,485.5464208490159,9,15,24
Lu Y.,415.2257370751744,1,10,11
Mathieu P.H.,471.27499850895475,219,231,450
Ager J.,484.0,0,1,1
Schukin Y.,511.00228629654185,12,17,29
Schiessling T.,483.11559591016373,0,1,1
Minar I.,457.05168106332764,30,61,91
Gimeno D.,487.1445731361115,0,1,1
Tuksar S.,439.69224382240805,0,5,5
Djokovic N.,1093.5590776491163,1027,193,1220
Nestor D.,485.2102011143076,0,1,1
Urban F.,483.30767618549595,0,1,1
Kubot L.,513.4419615291631,79,118,197
Baghdatis M.,598.4127335866377,311,248,559
Reynolds B.,430.8742179951683,27,70,97
Jenkins S.,432.0592495929214,5,15,20
Ketola T.,478.42810901442533,1,2,3
Benneteau A.,482.9271010626042,0,1,1
Baccanello P.,467.01166362359584,1,4,5
Zhu B.Q.,479.81984798654554,1,2,3
Healey N.,452.6196319295852,4,11,15
Wang Y.,459.6285962723929,0,3,3
Tsonga J.W.,602.5794737628514,428,213,641
Lu H.,502.4808057516566,1,1,2
Ionita V.,454.64999289273857,0,3,3
Bohane A.,484.0222259131181,0,1,1
Pedroso A.,486.24118257847795,0,1,1
Widom T.,527.1612142769948,5,5,10
Boeker M.,484.1142561626209,1,3,4
Crabb J.,481.5321517790777,0,1,1
Wassen R.,500.60628705269596,1,1,2
Iwabuchi S.,429.7001786384153,2,7,9
Aldi F.,439.5329353161972,1,6,7
Gimeno-Traver D.,482.6271919711701,87,165,252
Puerta M.,557.4027004556685,37,26,63
Zeng S.X.,484.4445615249648,1,4,5
Roger-Vasselin E.,547.3065235774361,77,120,197
Klec I.,424.2824059226054,1,7,8
Motomura G.,456.06098303458,2,5,7
Iwami T.,466.2319490131351,0,2,2
Terachi T.,480.7397780743922,2,3,5
Simon G.,612.8881093601534,479,364,843
Monfils G.,790.2833973550274,537,301,838
Kunitsyn I.,389.26775248519675,81,142,223
Stakhovsky S.,507.0921384057601,140,180,320
Stoliarov A.,487.0758760692695,0,1,1
Gruber K.,485.4148549643749,0,1,1
Rascon T.,484.4011632787765,0,1,1
Elgin M.,458.9254403551664,2,7,9
Settergren J.,483.0535476209214,0,1,1
Ryderstedt M.,462.9421038247231,7,12,19
Kimmich M.,469.91601841019985,0,3,3
Abdulla M.,486.02682170307315,0,1,1
Luzzi F.,448.97865302207106,5,12,17
Bourgeois L.,476.69854877293466,0,2,2
Nunez E.,483.16982992017444,0,1,1
Sun P.,451.5782644259558,1,4,5
Blake T.,482.5348789098834,0,1,1
Mackin A.,394.33989389817094,0,9,9
Parada F.,476.13872330859317,0,2,2
Harboe P.,486.1886204151313,0,1,1
Massa E.,486.0885728351274,7,8,15
Young D.,500.95264992197224,114,185,299
Silva J.,450.185688060241,1,6,7
Dailey Z.,484.1111549344658,0,1,1
Minar J.,480.8773693421431,0,3,3
Kuznetsov A.,384.81240630392796,5,20,25
Tecau H.,485.5779028547348,0,1,1
Fogues F.,493.9124523016947,1,2,3
Murray A.,591.3778041724719,675,254,929
Machado R.,375.4593199158762,12,37,49
Condor F.,480.51488849201183,0,1,1
Summerer T.,425.89329023583696,1,8,9
Mathieu P.,477.35782437903913,0,3,3
Mirnegg M.,487.0991289784935,0,1,1
Daniel M.,357.87813745036306,18,54,72
Vik R.,406.5772771320168,18,35,53
Sela D.,585.26772885675,116,165,281
Brzezicki J.P.,406.26998065275257,6,17,23
Dlouhy L.,424.66531943161203,19,47,66
Tenconi T.,486.3161457293401,0,1,1
Draper S.,472.1156109128806,0,3,3
Goodall J.,396.69731076179096,1,11,12
Uebel L.,494.3497813981629,0,1,1
Gremelmayr D.,462.8763190277889,30,52,82
Klein T.,484.43487260867437,0,1,1
Logtens P.,490.0810661352028,0,1,1
Rettenmaier T.,504.6986489797946,2,2,4
Sherwood D.,500.8672864537178,1,1,2
Vinciguerra A.,498.3012684429409,6,10,16
Fraile G.,405.54019379774553,0,7,7
Pospisil J.,450.51456410499054,1,7,8
Lammer M.,461.3489585075262,5,15,20
Oudsema S.,471.15972664380587,1,4,5
Vemic D.,458.2283710448351,5,10,15
Wilson B.,456.3578766554148,1,4,5
Mergea F.,498.41163424307115,1,1,2
Roitman S.,360.97433462497924,21,55,76
Zitko R.,482.4852957569773,0,1,1
Korteling S.,486.48317082000943,0,1,1
Washington M.,481.55485928070925,0,1,1
Thron A.,471.74179709813114,0,2,2
Greul S.,526.0495499488334,43,71,114
Berlocq C.,465.7581868367623,120,175,295
Marach O.,418.7658807919827,14,26,40
Hadad A.,499.7286270233901,2,2,4
Cilic M.,701.8128499349904,531,313,844
Bozoljac I.,436.9013519608648,8,17,25
Chadaj A.,498.4496488960356,1,1,2
Fyrstenberg M.,476.91248609813715,0,2,2
Smeets R.,447.3727608583467,1,8,9
Simmonds P.,472.85562182967163,0,3,3
Clayton A.,481.86613401374393,0,1,1
Bester P.,449.7372494303086,0,5,5
Steckley R.,481.2045735499452,0,1,1
Gregorc L.,538.6980904419069,6,7,13
